# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 75K of event 'cycles:u'
# Event count (approx.): 34212682593
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                               
# ........  .......  ............................  .....................................................................................................................................................................................................
#
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c060
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000034f46
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004706b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b23b
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000470f1
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002422c
     0.00%  program  libopencv_core.so.4.5.5       [.] cv::Mat::total
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b486
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a7aa
     0.00%  program  libc.so.6                     [.] _IO_unsave_markers
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a9ed
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a72c
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024cfa
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047187
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000264a9
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022a57
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002cc10
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a95a
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022fb2
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047046
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000026c88
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d987
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002655e
     0.00%  program  program                       [.] Convolution_layer::random_weights
     0.00%  program  libc.so.6                     [.] __sbrk
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000219bd
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002c026
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000020850
     0.00%  program  libc.so.6                     [.] 0x000000000002c3d4
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022884
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b306
     0.00%  program  program                       [.] output::prediction
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001da30
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022829
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022709
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047151
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000241b0
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b2f5
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004bde9
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000001d9cf
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000024c19
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b2a7
     0.00%  program  program                       [.] Data::loadImage
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000035870
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x0000000000016587
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000228c9
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a997
     0.00%  program  libc.so.6                     [.] _IO_old_init
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047274
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047257
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b3e4
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047119
     0.00%  program  libm.so.6                     [.] log@@GLIBC_2.29
     0.00%  program  program                       [.] Pooling_layer::Hidden
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000022576
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004a845
     0.00%  program  libc.so.6                     [.] _IO_fread
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004c5d7
     0.00%  program  libc.so.6                     [.] systrim.constprop.0
     0.00%  program  libopencv_imgcodecs.so.4.5.5  [.] 0x00000000000165c3
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000004b149
     0.00%  program  libjpeg.so.8.2.2              [.] 0x0000000000047111
     0.00%  program  libjpeg.so.8.2.2              [.] jpeg_finish_decompress
     0.00%  program  libjpeg.so.8.2.2              [.] jpeg_save_markers
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002626d
     0.00%  program  libjpeg.so.8.2.2              [.] 0x000000000002bc68
     0.00%  program  libjpeg.so.8.2.2              [.] 0x00000000000257d0
